MAX_TP	MAX_FP	MAX_TN	MAX_FN
2.73	0.613	0.262710740027	1.453
2.6201768077	0.518	0.241096416169	1.462
2.619	0.617	0.197708563961	1.543
3.05478336757	0.694	0.229	1.393
2.621	0.644	0.281	1.576
2.724	0.57	0.273	1.359
2.543	0.543	0.352708563961	1.563
2.62941642516	0.487	0.244	1.577
2.888	0.637	0.284	1.59096045434
2.585	0.624	0.217	1.332
2.403	0.590421817721	0.246708563961	1.423
2.488	0.643	0.274	1.342
2.41955946272	0.682	0.237	1.513
2.763	0.642	0.230556292695	1.53
2.679	0.644	0.198	1.57369163424
2.43485394614	0.659	0.173708563961	1.515
2.566	0.692	0.223	1.446
2.452	0.756	0.259	1.62180019019
2.595	0.591	0.301830189294	1.568
2.896	0.581	0.262	1.652
2.541	0.582	0.266	1.448
2.79761473425	0.53	0.259263703365	1.625
2.513	0.605	0.352	1.50006358983
2.73	0.553	0.246	1.555
2.859	0.591	0.253	1.766
2.526	0.582	0.251	1.584
2.862	0.598	0.234874391074	1.513
3.099	0.628	0.212	1.617
3.17684762506	0.614	0.199	1.413
2.973	0.658	0.21	2.25306965509
2.75	0.584	0.269	1.7
2.928	0.646	0.25	1.468
2.96	0.67	0.234241503837	1.682
2.695	0.689	0.238	1.617
2.947	0.682	0.178	1.76497669806
3.16045917728	0.649	0.183	1.675
3.036	0.67	0.218	1.684
3.33904993395	0.604	0.229	1.675
3.413	0.571	0.224	1.755
3.068	0.629	0.238886493557	1.585
3.226	0.592	0.22	1.526
3.176	0.623825868026	0.227469221946	1.781
3.282	0.699	0.236	1.532
3.364	0.555	0.228	1.465
3.27	0.547	0.197708563961	1.598
3.71211156275	0.678	0.193	1.708
3.42174022454	0.643	0.289019296073	1.899
3.928	0.649	0.216	1.94927349386
3.798	0.628	0.243689400265	1.592
3.678	0.594	0.240826922535	1.415
3.705	0.633808320578	0.241	1.845
3.525	0.611	0.343	2.051
3.45416250301	0.66	0.310872299289	1.897
3.391	0.679	0.272	2.004
3.256	0.823	0.23	2.09
3.842	0.786959340903	0.213	1.839
3.817	0.585	0.211708563961	1.745
3.507	0.656	0.215	1.543
3.483	0.695912965702	0.198049955883	1.764
3.432	0.685	0.303848052746	2.061
3.693	0.642	0.526	1.976
3.822	0.719	0.242	1.759
3.683	0.725559100834	0.228	1.968
3.571	0.714	0.38573613814	1.653
3.375	0.73	0.323	1.904
3.612	0.777	0.269	1.862
3.648	0.686	0.25	1.93418470189
3.656	0.736655778468	0.208	1.879
3.29481010318	0.816	0.311	1.813
3.606	0.616	0.347538734607	2.00905473172
3.90235321619	0.706	0.332	1.84770168256
3.745	0.62	0.298708563961	1.758
3.666	0.687	0.297	1.846
4.08431761001	0.744	0.288	1.739
3.84298494969	0.834	0.277	1.77
4.30237799664	0.795	0.38	1.711
4.97093592451	0.799	0.229283190558	1.715
4.10808665626	0.935	0.281	1.651
4.249	0.848	0.273	2.055
4.12727137409	0.793213272423	0.225	1.866
3.615	0.803	0.223	1.469
3.61942223542	0.782708563961	0.270554027642	1.579
2.97118324568	0.736	0.207708563961	1.282
3.448	0.776	0.231	1.363
4.15981378989	0.683	0.268	1.739
4.064	0.800125667422	0.24	1.9146985567
4.346	0.755	0.318708563961	1.912
4.69	0.744	0.269	1.625
4.67213736542	0.779	0.373	1.903
4.511	0.852	0.371	1.813
4.204	0.718	0.369	1.783
3.93827575148	0.69	0.331151011186	1.715
3.27	0.698	0.329	1.601
4.34410916178	1.04014977176	0.304	1.6581756312
3.003	0.764	0.281	1.549
3.349	0.792	0.338	2.02
2.641	0.95	0.334	1.804
2.28	0.564	0.24	1.479
2.38	0.734	0.285	1.83326164659
2.323	0.699	0.192	1.694
2.36	0.679	0.202	1.589
2.513	0.71	0.205	1.532
2.176	0.578	0.212	1.496
2.682	0.631	0.253	1.874
3.329	0.781	0.254	1.91494993834
3.043	0.693	0.223	1.681
4.71375490044	0.66	0.349708563961	2.013
3.681	0.622	0.246293612104	1.74
4.539	0.799604006024	0.23773613814	1.823
4.978	0.737358671	0.241	1.776
5.28735784808	0.75	0.19	1.715
5.012	0.743	0.233397729442	1.855
4.647	0.744	0.223	1.87891341741
4.20205958063	0.828354949408	0.248554027642	1.98815351468
4.437	0.689	0.227	2.054
3.694	0.727	0.256	1.873
3.53760785938	0.628129758308	0.199225370124	1.84987439107
2.942	0.63	0.208	1.624
3.423	0.687491576042	0.238	1.927
3.394	0.653	0.237	1.67475350957
3.97480204801	0.587	0.235	1.903
4.148	0.641	0.23513206173	1.868
3.644	0.669	0.249	2.013
3.893	0.634	0.249	1.842
4.26254978398	0.651	0.24	1.782
3.728	0.756	0.176	1.8908200117
3.351	0.635	0.295	2.096
3.435	0.646	0.201	1.712
3.40674145611	0.634	0.179	1.778
3.67	0.665	0.22	1.686
3.108	0.587	0.271856700145	1.518
3.353	0.553	0.275	1.611
3.13004712164	0.644	0.22	1.55
3.635	0.6	0.205	1.59
3.436	0.612	0.352844572311	1.669
3.423	0.615	0.357417127923	1.611
3.531	0.56	0.241	1.75710484694
3.094	0.608	0.285	1.69
3.299	0.629	0.245	1.621
2.865	0.625	0.215	1.693
3.43657665976	0.666	0.19	1.555
3.115	0.606	0.237	1.6
3.028	0.61138118574	0.248	1.65660500659
3.485	0.597	0.307918314244	1.46895190693
3.108	0.662	0.538	1.704
3.824	0.573	0.233	1.882
3.18	0.611	0.233708563961	1.935
3.181	0.622	0.384	1.713
2.986	0.724850974641	0.293532771404	1.73
3.049	0.729	0.258	1.712
3.0817786229	0.605	0.217	1.677
3.339	0.606	0.241	1.641
3.199	0.609	0.276	1.51712462376
2.97	0.619	0.291	1.71070677062
2.967	0.566	0.268141447643	1.661
2.731	0.578280164503	0.325	1.527
3.033	0.539	0.457	1.404
2.967	0.547	0.278	1.499
3.179	0.536	0.314	1.476
2.648	0.654	0.367	1.59
2.863	0.631	0.231	1.518
2.913	0.565	0.283	1.484
2.812	0.557	0.221	1.554
3.027	0.632	0.281	1.449
2.669	0.583438071688	0.206708563961	1.461
2.88348292584	0.672	0.355	1.825
2.852	0.58	0.264	1.558
2.71	0.596	0.42	1.381
2.769	0.612	0.336	1.54390371595
2.392	0.586	0.226	1.65
2.419	0.586	0.311	1.519
2.794	0.547	0.275	1.495
2.6	0.541099132643	0.374	1.533
2.643	0.6	0.368454936837	1.338
2.363	0.626	0.277	1.419
2.258	0.586	0.264	1.611
2.236	0.59	0.322	1.492
2.201	0.559	0.296778764997	1.561
2.183	0.559	0.354	1.339
2.192	0.547	0.26274432812	1.33
2.52438248937	0.539	0.31073613814	1.556
2.575	0.591	0.263	1.436
2.477	0.593	0.273708563961	1.47171949461
2.216	0.534	0.218	1.458
2.409	0.595	0.218	1.261
2.399	0.551	0.198	1.245
2.432	0.546	0.236	1.435
2.285	0.55	0.233	1.31237870737
2.536	0.545	0.246708563961	1.415
2.279	0.515	0.205	1.417
2.241	0.538	0.194	1.339
2.393	0.582	0.235262591603	1.308
2.43026987005	0.609	0.204	1.2304303023
2.183	0.547	0.229	1.245
2.269	0.529	0.232	1.369
2.059	0.445	0.271	1.232
2.145	0.501	0.206	1.2434550832
2.23831104977	0.546	0.30473613814	1.334
1.895	0.586	0.256	1.32078295617
1.825	0.514	0.265380806149	1.28794034365
