EJUNB_TP	EJUNB_FP	EJUNB_TN	EJUNB_FN
1.589	0.779	0.205708563961	0.915
1.501	0.84	0.21	0.885
1.787	0.891	0.201	0.929
1.942	0.882	0.231417127923	0.926
1.734	0.938	0.232	0.995
1.912	0.831	0.214708563961	0.962
1.873	0.899	0.212	0.954
1.842	0.842	0.207	0.967
1.812	0.893	0.213	0.963
1.819	0.892	0.256	1.034
1.771	0.854	0.247	0.91
2.143	0.941	0.19	0.988
1.919	0.937	0.222	1.08
2.103	0.95	0.211	1.073
1.903	1.1895011143	0.226	1.055
1.783	1.062	0.218	1.107
1.86	1.25236330606	0.228862311647	1.068
1.926	1.072	0.207	1.142
1.96	0.974	0.223708563961	1.188
1.954	0.952	0.199708563961	1.149
2.247	0.931	0.218	1.179
2.227	1.024	0.194	1.108
2.16	0.921	0.204	1.213
2.448	0.96	0.206	1.244
2.291	0.931	0.178	1.274
2.529	1.069	0.211462390172	1.309
2.41146993438	0.918	0.241698970256	1.225
2.388	0.872	0.185462390172	1.25
2.63350274251	0.944	0.239469221946	1.233
2.462	0.891	0.229	1.33318761221
2.628	1.0	0.224469221946	1.354
2.432	0.982	0.218	1.37518761221
2.897	0.989	0.192	1.243
2.659	1.148	0.19	1.309
2.852	1.152	0.205	1.296
2.906	1.016	0.156	1.238
2.738	1.077	0.188	1.43
2.824	1.028	0.175	1.423
2.633	1.136	0.184	1.568
2.924	1.061	0.213417127923	1.486
3.04940446012	1.148	0.182	1.597
2.967	1.134	0.188417127923	1.523
2.91639159441	1.251	0.218	1.606
2.725	1.17	0.206	1.71
2.64146458276	1.094	0.214	1.508
2.917	1.286	0.219	1.529
2.74747370629	1.147	0.219739622401	1.418
2.898	1.357	0.228	1.666
2.992	1.156	0.234	1.502
2.934	1.208	0.227	1.631
3.107	1.255	0.251	1.58
2.905	1.273	0.22773613814	1.468
3.196	1.145	0.278	1.50030568533
2.718	1.277	0.26573613814	1.639
2.961	1.117	0.319	1.53330568533
3.102	1.184	0.224	1.464
3.198	1.16746236119	0.292	1.681
3.592	1.219	0.269	1.763
3.50933466401	1.28246236119	0.284	1.844
3.598	1.255	0.214	1.937
3.497	1.233	0.268	1.862
3.642	1.167	0.196	2.012
3.358	1.28	0.192	1.858
3.484	1.259	0.194	1.78671434376
3.43	1.385	0.195	1.748
3.30503962917	1.347	0.21	1.945
3.465	1.337	0.224	1.741
3.31900725194	1.1970204921	0.193	1.859
3.536	1.13	0.232	1.777
3.515	1.258	0.232	1.78
3.835	1.37	0.236	1.988
3.674	1.384	0.204	1.986
3.956	1.268	0.2	1.897
4.078	1.38	0.196584632851	1.935
3.62	1.287	0.203	1.898
4.054	1.27	0.193830189294	1.999
3.74320890584	1.33468316456	0.182	1.799
3.896	1.444	0.211	2.02498336943
3.259	1.189	0.183	1.674
3.462	1.248	0.218	1.99944159591
3.214	1.204	0.203585048143	1.745
3.583	1.485	0.228	2.062
3.78	1.59	0.215	2.224
4.158	1.65097855883	0.230320287491	2.446
4.44664893202	1.682	0.224	2.386
4.585	1.6668441196	0.253320287491	2.445
4.41757510165	1.75007748064	0.262	2.535
4.28537874941	1.555	0.222	2.314
4.327	1.59626667119	0.247798998462	2.111
4.38048758766	1.361	0.218	2.093
4.22785398888	1.459	0.229	2.115
4.59211986254	1.541	0.239	2.219
4.06085398888	1.468	0.245	2.009
4.187	1.46	0.232	2.077
3.407	1.205	0.221	1.779
3.059	1.178	0.185	1.711
2.779	1.184	0.197	1.71
3.187	1.293	0.252	2.116
2.27	0.837	0.164	1.543
2.863	1.161	0.261084953151	1.767
2.486	0.834	0.133	1.363
2.86	1.154	0.237	1.714
2.293	0.85	0.189417127923	1.379
3.374	1.25	0.252	1.916
2.852	1.104	0.198293612104	1.597
3.036	1.2	0.233	1.71
3.0539452641	1.34	0.245	1.698
4.133	1.502	0.286	2.003
3.82792998155	1.50105240703	0.259	1.763
5.13280191584	1.548	0.217	2.3
4.51394068919	1.70735962732	0.267	2.234
4.96094345492	1.397	0.245	2.356
4.69792412209	1.438	0.204	2.265
4.803	1.571	0.238159508891	2.01965457891
4.826	1.585	0.217	2.292
4.624	1.795	0.215	2.32043334391
4.569	1.715	0.407304121984	2.354
5.005	1.767	0.257	2.23
4.268	1.52	0.237	2.106
4.121	1.597	0.211	1.863
3.408	1.034	0.197708563961	1.672
3.945	1.306	0.172708563961	1.873
3.454	1.189	0.166125691884	1.604
4.37	1.136	0.188708563961	1.924
3.994	1.403	0.202125691884	1.596
4.1937843067	1.456	0.254	1.836
3.978	1.435	0.22	1.879
3.8797682205	1.452	0.199	1.862
4.025	1.4	0.908255745098	1.869
3.777	1.402	0.353654452385	1.734
3.583	1.312	0.248	1.937
3.752	1.27	0.362918314244	1.948
3.559	1.651	0.242	1.721
