CEBPB_TP	CEBPB_FP	CEBPB_TN	CEBPB_FN
1.42	0.4	0.13223156143	0.476456388751
1.458	0.408	0.146389706486	0.403
1.279	0.42	0.130125691884	0.459
1.517	0.377	0.116786337412	0.391
1.436	0.414	0.0869500677984	0.364
1.61210472804	0.446	0.100476670934	0.365
1.727	0.407	0.127654432286	0.419992072045
1.455	0.439	0.107667613493	0.362739622401
1.557	0.428	0.116444702102	0.371
1.53	0.443	0.107346667355	0.4
1.523	0.402	0.0991244879218	0.332
1.44992844554	0.419488528589	0.0971019372645	0.41
2.06447327423	0.428	0.100003215928	0.385
1.715	0.419	0.0955340722116	0.381
1.687	0.376	0.09	0.39335097905
1.819	0.346	0.148985591528	0.396832968925
1.68927304706	0.385	0.0815354864961	0.418832968925
1.724	0.447	0.111744191079	0.317
1.401	0.433	0.122832968925	0.337
1.47562208345	0.352800122129	0.097	0.365946580941
1.482	0.376	0.206832968925	0.323
1.571	0.43	0.202	0.325
1.51	0.418	0.121	0.352
1.58867618354	0.412	0.12981669481	0.329
1.631	0.391	0.102	0.376
1.583	0.42	0.119739622401	0.322
1.559	0.351	0.143708563961	0.357
1.692	0.395	0.141	0.357
1.736	0.466	0.118	0.338930091802
1.541	0.500597528047	0.168417127923	0.359
1.949	0.313	0.263385204851	0.353
1.759	0.403	0.136	0.372
1.612	0.366	0.164454936837	0.352
1.948	0.423	0.143011081234	0.366
1.781	0.39	0.128	0.363
1.677	0.382	0.098618502828	0.342
1.65088972972	0.37	0.109	0.349
1.527	0.418	0.11	0.384
1.6085335882	0.406	0.139	0.383
1.76	0.402	0.131	0.338
1.686	0.441	0.098	0.41402765115
1.633	0.402	0.0977361381404	0.39
1.822	0.364	0.152739622401	0.481
1.99	0.372	0.156446350332	0.511
1.9312731558	0.344	0.091	0.508860041839
1.736	0.398	0.108	0.388
1.73367735899	0.383	0.181975837861	0.37
1.725	0.42	0.085	0.385
1.92840276077	0.466	0.127	0.411650607494
2.006	0.35	0.0989011110207	0.375310418876
2.05700879629	0.438	0.184	0.349
1.87071769032	0.369	0.0989183142444	0.392
1.864	0.347	0.059	0.341
1.9696757675	0.416326666906	0.071	0.306
1.944	0.422	0.128	0.263
1.849	0.357	0.186880920061	0.353
1.899	0.372	0.167	0.333299676367
1.881	0.479	0.084	0.356
2.011	0.437	0.11935097905	0.35
1.851	0.489	0.104	0.326
1.90707866602	0.469	0.098	0.473860982484
1.954	0.427385650443	0.11173613814	0.410297556459
1.971	0.437	0.12	0.395739622401
1.977	0.405	0.079	0.403
2.012	0.398	0.074	0.386
1.975	0.397	0.073	0.415
1.93	0.408480711797	0.212	0.413
2.16862869821	0.352	0.130128976129	0.388
2.079	0.445	0.067	0.380760390025
2.027	0.458	0.127	0.334
2.079	0.439	0.079	0.324
1.972	0.419	0.066	0.39397865065
1.994	0.408	0.0697085639614	0.348
1.917	0.373	0.0720386094122	0.358
2.01875188233	0.409681358391	0.062	0.335
2.086	0.423431250626	0.061368514558	0.345
2.101	0.427356770082	0.062	0.359
2.269	0.368487111275	0.0376487782293	0.353
1.842	0.364	0.043	0.309
2.217	0.421	0.0728696828764	0.34
2.64375705373	0.482708563961	0.046	0.365
2.98295762587	0.454	0.0857487821483	0.394
2.368	0.469	0.06	0.42
2.107	0.396318634964	0.059	0.357672242187
1.773	0.414080955468	0.057	0.284
2.488	0.454	0.071	0.391
2.26	0.526874391074	0.0719183142444	0.401678721164
2.338	0.449	0.045	0.362
2.51938817524	0.463	0.0683304184569	0.433
2.811	0.47	0.106241503837	0.424
2.435	0.51	0.047	0.400989091334
2.02	0.480748001843	0.077	0.376
1.771	0.511921815763	0.061	0.325
1.636	0.352	0.064	0.352
1.685	0.381	0.048	0.333
1.463	0.317	0.052	0.258
0.85	0.28	0.037	0.141
1.096	0.384	0.059	0.153
1.235	0.361	0.0717361381404	0.307
1.425	0.34	0.0548743910742	0.348
0.949	0.291	0.0377085639614	0.258
1.284	0.33873613814	0.0637085639614	0.29
1.413	0.326	0.069	0.29
1.236	0.333012221235	0.043	0.219
0.836	0.235	0.034	0.159
1.525	0.324	0.049	0.242
2.14578762071	0.462	0.05	0.393
1.987	0.367	0.0437396224008	0.332918314244
2.213	0.435	0.07	0.388
2.427	0.439	0.0724171279228	0.33
2.81887439652	0.52	0.075	0.363
2.726	0.40984182298	0.059	0.433
2.65995886204	0.476	0.079	0.361
2.35800773897	0.349	0.063	0.375
2.15	0.386836841391	0.0805850481431	0.332
2.11	0.442	0.067	0.409
1.752	0.478	0.0757085639614	0.325
1.881	0.477	0.054	0.395
2.087	0.482	0.051	0.429826922535
2.564	0.525	0.074730745376	0.388
2.433	0.477	0.0907213519858	0.448
2.142	0.413	0.065	0.365
1.864	0.427	0.0650021760658	0.326
2.144	0.382	0.0627085639614	0.394
2.184	0.411	0.0700074533348	0.375
2.08151539077	0.443	0.074	0.395
2.147	0.497	0.071	0.36
2.16499149476	0.492	0.075	0.326874391074
2.271	0.425	0.0777085639614	0.388
2.299	0.408	0.0847085639614	0.304648778229
2.162	0.382	0.0747085639614	0.329
2.17554318953	0.369	0.0764302603262	0.385
2.175	0.406	0.056	0.33
1.85	0.415	0.109944848217	0.344
1.747	0.418	0.111708563961	0.453
1.712	0.430446963596	0.104297556459	0.421
1.68	0.414	0.11273613814	0.383
1.993	0.408623090019	0.091	0.34
1.945	0.444	0.064	0.345
1.584	0.427	0.0747085639614	0.314
1.787	0.434	0.068	0.358
1.868	0.472	0.0697664455418	0.33
1.736	0.376	0.0767085639614	0.362
1.998	0.368	0.065	0.371
1.743	0.43873997515	0.0585874372477	0.353
2.31333094251	0.342	0.062	0.394
1.997	0.406	0.077	0.317
1.688	0.404736423039	0.069	0.328
1.767	0.375	0.083241503837	0.321
1.647	0.401445532521	0.0919109850934	0.333
1.704	0.377	0.0972831905583	0.287
1.907	0.423	0.115798998462	0.353
1.792	0.459	0.122101446787	0.38
1.946	0.466643318583	0.188	0.385
1.868	0.403	0.176	0.37743760345
1.738	0.503	0.141417127923	0.355
1.98411535867	0.463	0.075	0.314
1.805	0.377	0.0922776710266	0.345
1.804	0.476	0.090538734607	0.332
1.704	0.49	0.072	0.317
1.661	0.469	0.08	0.274
1.654	0.490578297142	0.09	0.376
1.781	0.472	0.065	0.318
1.777	0.501	0.073	0.333832968925
1.709	0.384	0.0626797195262	0.407
1.746761586	0.384	0.071059913995	0.333
1.739	0.444	0.109	0.309
1.531	0.38	0.078	0.4
1.587	0.398	0.0638076105222	0.391
