NFYB_TP	NFYB_FP	NFYB_TN	NFYB_FN
5.316	1.663	0.257	0.415378759089
5.592	1.487	0.236	0.503277195511
4.658	1.46373806376	0.252	1.09704896413
5.406	1.357	0.26	0.886
4.972	1.61	0.274454936837	0.472
4.971	1.556	0.329	0.528312304528
4.989	1.408	0.227	0.557914455582
5.171	1.514	0.225585048143	0.58
6.385	2.096	0.242	0.545
6.501	1.788	0.222	0.544906537155
6.254	1.643	0.242	0.575868603151
6.12118893145	1.868	0.266708563961	0.637
5.443	2.154	0.307	0.584735033748
5.788	1.944	0.22273613814	0.567
6.177	2.40887277662	0.258	0.512112559817
5.899	1.407	0.234	0.456
5.944	1.491	0.241874391074	0.622908398548
6.718	1.783	0.233708563961	0.661375523087
6.162	1.72	0.238	0.69
6.021	1.881	0.235	0.696249453387
6.833	2.149	0.214	0.601
7.547	1.9	0.215	0.44
7.727	1.895	0.219	0.54
5.933	2.152	0.311834087324	0.918617486407
6.811	1.994	0.244	0.791065906152
6.382	1.9	0.301	0.837708563961
7.16563777462	1.858	0.328	0.813
7.36526745806	1.732	0.223	0.722
8.247	1.779	0.233	0.696
8.29362874837	1.954	0.184	0.628670799084
7.831	2.01312703593	0.23	0.814262591603
8.482	2.042	0.245417127923	0.723801007946
7.02111596133	2.101	0.29	0.65773613814
7.10559288324	2.333	0.245891954545	0.878
6.675	2.059	0.221	0.777824635753
6.516	2.096	0.229466025229	0.821286661328
6.822	2.152	0.187	0.793
8.19	1.921	0.22315248893	0.87524437873
8.715	2.328	0.297	0.954
9.053	2.404	0.235	0.747347197833
8.988	2.122	0.216	0.930358978934
8.967	2.322	0.212989625594	0.679627939635
8.532	2.38	0.212	0.792523159023
7.865	2.22	0.183	0.632
8.610358832	1.89	0.2162133321	0.623931960447
7.419	1.962	0.213	0.635
8.43011366879	1.98	0.212	0.694012768225
8.125	1.78801326358	0.206	0.545
8.466	1.835	0.217	0.658251309278
10.139	1.937	0.227	0.834
9.54	2.387	0.244	0.908
9.259	2.411	0.195	1.14973613814
9.412	2.76999431038	0.213253947453	0.736078361782
8.261	2.423	0.237	0.622782661846
9.80933751079	2.272	0.247	0.774
8.934	2.011	0.236	1.0585881286
9.25058258218	2.186	0.241	0.899296968288
10.072	2.105	0.214	1.00194177868
11.2383728967	1.95157615759	0.208585048143	0.956478935018
12.7976534998	2.35386331607	0.207594776949	1.019
12.1525900616	2.697	0.248797288676	1.12674432812
10.9360219166	2.78700663265	0.194	1.29997646755
9.73973218877	2.87	0.199	1.36212897613
10.069	3.5110345752	0.167	1.2
9.16496158656	2.808	0.219	1.10576834979
8.79	2.457	0.229	0.866040032627
9.96193722403	2.54973613814	0.26	1.16802010066
10.7317927426	2.684	0.21773613814	1.06600571349
12.261	2.925	0.254	1.108
13.5522080698	3.074	0.247	1.91393707211
14.2115104224	3.765	0.226	2.27097069161
14.9086911641	4.61600330012	0.237	1.81341369563
14.703	3.61923673818	0.239708563961	1.51716079027
13.927	3.41546321022	0.34	1.63360637551
13.8508515424	3.603	0.268	1.8059543465
12.8838494283	2.4661836572	0.232	1.446
12.167882726	2.435	0.291874391074	1.24886070851
11.928	2.684	0.261	1.19501625775
13.315	2.92633745111	0.225	1.47424401532
18.8890595065	4.55165923498	0.307	2.87408410645
17.9966756362	4.208	0.317	2.42143912617
18.6996222932	3.8703764875	0.267	1.68411974032
17.6497377037	3.461	0.277	1.4203558042
12.241	2.508	0.214794401926	0.983964577292
12.7146671428	3.575	0.218	1.11941512257
14.5179243283	3.58703338092	0.241708563961	0.993546497883
9.24872590746	2.184	0.185	0.849885749834
10.857	2.594	0.234	0.93370456959
10.615	2.41804596269	0.30273997515	0.753271661301
10.7259800868	2.43	0.267	0.759208833378
13.7981522032	3.12861067548	0.268	1.36688251029
10.8963916435	2.49748803733	0.274	0.911
10.33879283	2.48280439783	0.262	0.894836628489
11.9005420712	3.18530546667	0.276070689334	1.75266299954
12.5618213296	3.12352899988	0.273	1.05053652107
10.0157031551	2.04	0.237	1.038
3.665	1.263	0.178	0.467
4.597	1.364	0.316	0.512
8.282	2.53758693361	0.268882581396	1.18173613814
6.635	1.96	0.38827074204	0.798
4.205	1.256	0.205	0.553
6.808	1.91370856396	0.306	0.881906819317
9.07828673194	2.32693026801	0.301	1.05950813341
4.957	1.423	0.173	0.591
3.94	1.068	0.123	0.39
9.85941523702	2.17724721792	0.248708563961	1.125
12.1065625963	3.04789966008	0.291568697854	1.42519435014
15.2476275896	2.848	0.287419742002	1.76326372489
13.0371508218	2.66425588765	0.281	0.95132989684
10.8698236942	2.259	0.281	0.873128976129
13.4974643616	3.08879721441	0.287	1.568
10.3001732571	2.84163633233	0.255	1.19393720601
10.351	2.372	0.304	1.10322998418
9.425	2.65574162457	0.399	0.848
9.567	2.253	0.238516174484	0.752
15.8429599926	3.01015207648	0.261	1.12663009516
11.5135046827	2.84762225931	0.356	1.28022796024
11.6263508108	2.636	0.235	0.888
17.8000454516	3.96938392452	0.293	1.48493914618
18.5560836975	3.25427890491	0.310908842813	1.61568895804
18.5827579751	4.05822780376	0.285241113753	1.52099604945
20.2844463255	4.93621558791	0.293593320497	1.95483898908
14.3102407182	3.41862664152	0.226	1.42674420806
11.277	3.201	0.226	1.20173749797
12.5353707578	2.58008646873	0.25	1.049
12.8527784605	2.636	0.202	1.58891098509
14.633935444	2.907	0.216	1.37208191015
15.383	3.02131034991	0.256739622401	1.86371137887
15.3310083514	3.40383952525	0.277	1.778
15.614011783	3.415	0.256	1.554
16.6500601381	3.157	0.243	1.42052574476
13.903	3.07000745333	0.245	1.54672352029
12.416	3.06220468797	0.222	1.15359989503
10.2299550413	2.70961213465	0.257	0.9385937587
9.9132177724	2.486	0.302	0.94773613814
9.47931811235	2.32901996207	0.292947239629	1.118
9.873	2.234	0.239	1.11384047695
10.3	2.54826062597	0.279	1.16142808564
10.828	2.72989047417	0.254	1.09703560321
11.9018802096	2.31404253052	0.282	1.05420947742
11.737	2.636	0.22	0.80173613814
10.187	2.012	0.291	0.949
10.0500845628	2.073	0.323	1.23903012658
8.801	1.92654881822	0.235	0.881
9.325	1.814	0.285842323619	0.779753193378
9.34850890492	1.85	0.265	0.767728377799
8.308	1.775	0.238	0.799408097606
9.227	2.634	0.232	0.866967479799
9.5177934951	2.38	0.242	0.618
9.695	2.464	0.246874391074	1.403
10.4643017249	2.3	0.293	1.515
8.831	2.322	0.573585048143	1.18621315303
9.79607892429	2.015788093	0.243	1.35833868946
8.61316836783	1.98496599552	0.215	1.36222899807
7.635	1.621	0.341508133414	0.748
7.8840770446	1.583	0.351	0.929130374853
7.93	1.951	0.248	0.678090534445
6.551	2.63077351834	0.328	0.734330471294
7.484	2.202	0.416	0.794708563961
8.60964388525	1.876	0.274	1.49287563846
8.611	1.869	0.282	0.989888953045
8.983	1.988	0.231	0.828247376727
8.30222932068	2.19952087565	0.319	0.755
7.91953075546	1.89	0.296	0.577
6.688	1.73	0.23	0.699528843459
6.967	1.819	0.276	0.659
6.987	1.728	0.41	0.707322187831
6.804	1.691	0.248	0.711290165782
7.08635589204	1.987	0.234	0.703429289925
7.157	1.92456131113	0.209	0.726932740291
7.96	2.444	0.223797288676	0.820317454855
7.271	2.309	0.204	0.752961068551
6.852	1.853	0.246	0.632
7.289	2.16	0.224	0.625
6.247	2.135	0.234874391074	0.562
5.758	1.809	0.207	0.557523169303
6.21299374524	2.24666034744	0.289	0.472
6.419	1.752	0.323	0.570992072045
5.443	2.047	0.252	0.484
5.65224491071	1.637	0.324	0.549989911271
5.87723531149	1.97652445705	0.317	0.558512107634
6.805	1.6	0.283	0.509
6.25167678885	1.689	0.229	0.57
5.7955499866	1.781	0.293	0.464995406358
5.464	1.794	0.334756242076	0.600673949654
5.672	1.69558092121	0.256	0.675
5.36348549626	1.61958641787	0.248	0.573087117191
5.377	1.483	0.353708563961	0.537
5.802	1.854	0.38	0.708
5.879	1.708	0.282708563961	0.597832968925
5.49973054082	1.615	0.295631851682	0.710107599165
5.653	1.952	0.282949017537	0.602
5.76242410263	1.753	0.253	0.673335201625
5.172	1.631	0.262	0.523320614711
4.971	1.433	0.247	0.53617897374
5.551	1.563	0.242	0.476
5.79167040819	1.24	0.267454936837	0.428585048143
5.269	1.493	0.295	0.449747014026
4.972	1.46748834534	0.285	0.57
4.6	1.19822920448	0.24	0.506569107065
