THAP1_TP	THAP1_FP	THAP1_TN	THAP1_FN
5.59565217391	1.786635875	0.372708563961	3.08403361345
5.56086956522	1.478	0.333	3.60504201681
5.31739130435	1.599	0.36	4.99159663866
5.07826086957	1.534	0.341	5.26890756303
4.82608695652	1.633	0.328708563961	4.75630252101
6.27391304348	1.681	0.385596471928	5.11764705882
5.91739130435	1.64881044031	0.33	4.00840336134
5.67391304348	1.692	0.361	5.3025210084
6.88695652174	1.612	0.379	5.41176470588
6.84128733428	1.738	0.405119143658	5.21008403361
7.2347826087	1.525	0.32	5.00840336134
6.94347826087	1.566	0.31	5.33613445378
6.55217391304	1.35	0.328788872593	5.98319327731
6.99130434783	1.398	0.331	4.66386554622
6.66956521739	1.604	0.313	5.44537815126
8.52173913043	1.778	0.318	4.50420168067
7.44347826087	1.59572324041	0.369	3.90756302521
7.82608695652	1.56479861212	0.42	7.51470749104
9.8	1.501	0.342	6.87394957983
6.38695652174	1.559	0.385	5.21848739496
5.12173913043	2.247	0.385	4.73109243697
6.15652173913	1.872	0.380898244046	5.68907563025
7.8	1.779	0.394	5.10924369748
6.96086956522	1.927	0.394	5.04201680672
7.33043478261	1.75930330745	0.445	5.79831932773
7.23973520618	2.103	0.326	4.57142857143
5.88695652174	1.541	0.298874391074	5.78991596639
7.79130434783	1.803	0.295	6.50420168067
6.64782608696	1.821	0.325	7.10924369748
5.7347826087	1.837	0.274	9.31912559075
6.49130434783	1.707	0.313	6.52100840336
7.37826086957	1.862	0.303	7.66386554622
7.55217391304	1.705	0.308	7.04201680672
7.28260869565	1.553	0.334	5.05882352941
8.53330233958	1.56757318471	0.289	6.0756302521
8.37826086957	1.64355497764	0.301	7.34453781513
7.7652173913	1.692	0.325739622401	6.15966386555
7.36956521739	1.665	0.324	5.48739495798
7.31739130435	1.968	0.303	5.26890756303
6.25652173913	1.676	0.348	6.52941176471
7.4	1.683	0.338	7.41176470588
8.77826086957	1.614	0.368	4.94117647059
7.96086956522	1.738	0.336708563961	5.31092436975
9.61304347826	1.69292636035	0.371	4.34453781513
8.92608695652	1.784	0.338	4.78151260504
8.14782608696	1.635	0.367652076409	6.16806722689
9.00434782609	1.527	0.318	6.06722689076
7.20869565217	1.705	0.322	8.96638655462
7.91739130435	1.596	0.296452892082	6.6218487395
7.5652173913	1.688	0.357918314244	11.0
