EGR1_TP	EGR1_FP	EGR1_TN	EGR1_FN
5.017	2.408	0.274918314244	1.41380761052
5.5491608465	2.157	0.280291518997	1.52713906333
4.839	2.126	0.279	1.368
4.552	2.073	0.289922431797	1.308
4.621	2.183	0.289685597943	1.147
4.972	2.089	0.329	1.386
4.66	2.514	0.302	1.476
5.39307018571	2.296	0.372	1.403
5.066	2.023	0.348417127923	1.37
4.65	2.569	0.313	1.578
4.659	3.23553217933	0.40573613814	1.873
5.11	2.743	0.366708563961	1.729
5.253	2.528	0.349819596254	1.894
5.181	2.747	0.392	1.568
4.776	2.586	0.433554027642	1.483
5.213	2.732	0.352	1.388
4.781	2.337	0.271708563961	1.374
5.091	2.2222376221	0.319844095651	1.384
5.56414786405	2.302	0.31487681203	1.241
5.315	2.369	0.370708563961	1.433
5.34737583593	2.503	0.333	1.56
5.841	2.675	0.358	1.396
5.668	2.796	0.382	1.578
5.097	2.996	0.334	1.448
5.50826841141	2.686	0.329	1.377
5.69126595723	2.479	0.339	1.447
4.868	3.002	0.329	1.493
5.76820475811	2.4	0.392708563961	1.586
6.224	2.571	0.341	1.56
5.723	2.365	0.414	1.785
5.573	2.344	0.304	1.759
6.04302241975	2.144	0.347	1.542
6.148	2.55477324369	0.321	1.80381389465
6.129	2.51	0.334	1.667
6.52896115305	2.232	0.409	1.802
6.514	2.306	0.389	1.795
6.575	2.33	0.351	2.063
7.04889416697	2.278	0.360974874883	1.819
6.902	2.025	0.521	1.928
6.394	2.034	0.388	2.218
5.895	1.953	0.425422435082	2.104
6.088	2.009	0.349	2.02
6.8	2.144	0.365	2.135
6.428	2.1898389931	0.349709393669	1.881
6.162	2.003	0.462708563961	1.597
6.12710795934	2.119	0.37073613814	2.036
7.008	2.376	0.319726433794	2.3963332417
6.84	2.617	0.305	2.256
6.735	2.82244154338	0.353	2.049
6.707	2.515	0.356726433794	2.013
7.6836117528	2.737	0.404	1.94680428261
7.76448057803	2.65	0.312	1.738
6.814	2.583	0.31997857083	1.602
6.971	2.435	0.31	1.59458504814
6.615	2.816	0.354	1.612
6.731	3.047	0.337	1.776
6.874	2.685	0.399	1.832
6.719	2.761	0.372	1.798
6.964	2.721	0.339	1.913
6.693	2.461	0.338791439619	2.055
6.676	2.928	0.378	1.929
6.463	2.56388578996	0.458	2.029
6.753	2.249	0.4	1.945
6.813	3.175	0.384874391074	1.9309908308
6.617	2.37981263156	0.333	1.983
6.53225972336	2.247	0.432791439619	2.089
7.008	2.426	0.371	1.9109900317
6.262	2.13357968208	0.373	2.371
6.506	2.189	0.453	2.14446922195
7.071	2.117	0.344	2.01898890036
7.232	2.296	0.348	1.919
6.967	2.407	0.44	1.952
7.5808591666	2.043	0.464	1.68598890036
7.126	2.132	0.459	1.867
6.826	2.4333711681	0.388	1.864
6.84	2.52	0.4	1.792
7.355	3.587	0.381554027642	1.806
7.877	2.751	0.393	1.666
7.417	2.881	0.337	1.78198890036
7.787	3.321	0.442	2.016
8.882	3.625	0.462	2.04
9.513	3.292	0.532	1.997
9.866	2.986	0.401	2.089
8.353	2.394	0.385	2.034
9.37876511502	2.79981397165	0.324	1.763
8.005	2.81997580775	0.375	2.086
8.76682773151	2.83945115593	0.321	2.0
8.297	2.72	0.303247189367	1.704
8.51	2.68673188196	0.296293612104	1.611
7.971	2.513	0.311	1.857
7.351	2.42267560557	0.318	1.907
7.05232997044	2.179	0.367623090019	2.492
7.082	2.36677251166	0.518	2.708
6.226	1.835	0.641708563961	2.00133776684
6.126	1.95407871313	0.441	2.3
6.802	2.03981888061	0.53373613814	2.536
8.136	2.49	0.508	3.084
8.809	2.375	0.553	4.43978544874
9.439	2.612	0.57	3.821
9.2177453053	2.45338941269	0.557708563961	4.09212910812
8.70580440376	2.27	0.736	3.738
9.522	2.51462168665	0.715268804533	3.615
9.47833632262	2.7525415239	0.857	3.84079553148
8.47480131929	2.379	0.639	3.29302894615
7.111	2.01202473954	0.547	2.609
6.355	2.265	0.481708563961	2.34702646101
6.25080440376	2.51689507523	0.284	1.637
7.146	2.473	0.403320493515	1.878
6.64931031581	2.413602055	0.368	1.61155623053
7.75	2.2914956911	0.348241503837	1.767
9.116	2.32	0.486	1.989
