JUND_TP	JUND_FP	JUND_TN	JUND_FN
1.302	0.61	0.202	0.886
1.555	0.635	0.212	0.818
1.679	0.749	0.221	0.939
1.743	0.744	0.252	0.948
1.709	0.716	0.239417127923	0.941
1.919	0.646	0.235	0.864
2.022	0.623	0.215	1.055
1.821	0.676	0.223	1.186
1.62	0.619	0.278	0.843
1.831	0.62	0.262	0.794
2.185	0.698	0.215	0.908
1.682	0.679	0.239	0.868
2.068	0.736	0.235	0.844
1.879	0.662	0.250170096286	0.83
1.6	0.754	0.235	0.982
2.21282969197	0.837	0.237	1.176
2.076	0.703	0.199	1.019
1.828	0.766	0.244724623295	0.986
1.737	0.798	0.199	1.033
2.095	0.701	0.254417127923	1.212
1.821	0.831	0.240708563961	1.067
2.133	0.654	0.232	1.006
2.523	0.698	0.204	0.902
2.218	0.703	0.201	1.011
2.343	0.721	0.244	1.202
2.336	0.587	0.222	1.31
2.266	0.678	0.198924780344	1.151
2.221	0.883	0.267	1.147
2.088	0.871	0.194	1.189
1.905	0.791	0.225938443892	1.203
2.346	0.714	0.237	1.10054741495
2.497	0.741	0.246	1.197
2.28	0.816	0.197	1.205
2.548	0.665	0.233	1.039
2.657	0.69	0.19	1.111
2.813	0.683	0.189	1.201
2.844	0.633	0.2	1.116
2.585	0.694	0.2	1.228
2.369	0.647	0.205	1.219
2.516	0.633	0.188	1.303
2.758	0.772	0.223417127923	1.284
3.18078318881	0.754	0.22	1.482
2.59	0.669	0.225	1.324
2.579	0.702	0.25	1.327
2.822	0.798	0.233	1.292
2.543	0.908	0.251	1.237
3.309	0.804	0.242	1.233
2.886	0.746	0.223739622401	1.139
2.884	0.77	0.218	1.62712858302
2.765	0.802	0.26	1.319
2.832	0.733	0.223	1.346
3.146	0.961	0.316	1.359
2.766	0.863	0.281087117191	1.727
2.685	0.726	0.336	1.482
2.832	0.855783978936	0.23	1.572
3.092	0.777	0.244	1.455
3.249	0.811	0.311	1.43
3.10292472238	0.746	0.292	1.565
3.543	0.836	0.204	1.65
3.269	1.016	0.241	1.485
2.984	0.879	0.218	1.734
2.976	0.787	0.258	1.418
3.463	0.821	0.159	1.599
3.384	0.895	0.172	2.02962405193
3.19	0.863	0.214	1.548
3.296	0.9	0.202	1.673
2.724	0.90402168823	0.184	1.664
2.924	0.825	0.207	1.49
3.101	0.819	0.2	1.655
3.408	0.88	0.276	1.467
3.301	1.037	0.248	1.641
3.597	1.093	0.24	1.63
3.564	1.263	0.194	1.596
3.081	1.079	0.214	1.807
3.769	0.902	0.197660378587	2.016
3.335	0.923834255846	0.172	2.542
3.553	0.941	0.234	1.95
3.77436632912	1.173	0.208	1.696
3.359	1.13	0.175	2.15148547022
2.348	0.748	0.188	1.322
2.982	0.975	0.252	1.523
3.649	1.12397259316	0.204585048143	1.847
3.819	1.30813689261	0.19	1.756
3.73	1.076	0.179	1.815
4.16072184362	1.4296882392	0.287640574982	2.35
5.00165872798	1.225	0.238	2.246
4.475	1.2	0.225	1.896
3.632	1.36633110276	0.254	1.909
4.089	1.10811666954	0.214	1.91
4.057	1.039	0.259	1.653
4.059	1.028	0.207	1.868
4.006	1.169	0.253	2.141
4.219	1.055	0.263	1.642
3.343	0.855	0.241	1.48786213286
3.644	1.137	0.23	1.862
3.065	0.795	0.233	1.974
2.046	0.663	0.181	1.296
2.204	0.882	0.194	1.266
4.024	1.325	0.351084953151	2.2
2.022	0.582	0.124	1.083
1.137	0.412	0.127	0.588
2.046	0.676	0.175	1.19
4.218	1.33914581067	0.329	2.147
2.067	0.637	0.206417127923	1.219
2.049	0.679	0.202	1.148
3.27	0.758	0.221	1.735
3.613	0.951	0.283	1.675
3.24787027756	0.912	0.265	1.425
4.378	1.046	0.227	1.782
4.48616962627	1.207	0.257	1.713
5.05185930269	0.947	0.217	2.01669683513
4.028	1.08145370988	0.23	1.804
4.43	1.01390257003	0.219	1.947
4.536	1.032	0.177	1.651
4.41545587358	1.103	0.246319017782	1.83701471544
4.98	1.251	0.28	2.408
4.657	1.272	0.254	2.138
4.126	1.078	0.195	1.99
4.77312393526	1.123	0.263	1.864
3.783	1.174	0.254708563961	1.819
3.157	0.875	0.167874391074	1.503
2.368	0.607	0.109	1.138
3.718	0.9	0.159417127923	1.603
3.45	0.977	0.199251383768	1.415
3.514	1.037	0.221	1.824
3.148	1.169	0.204	1.655
3.68054182914	1.067	0.216	1.731
3.769	1.22	0.22	3.18150453861
3.522	1.091	0.181	1.805
3.462	0.971	0.258	1.514
3.806	0.843	0.247836628489	1.687
3.641	0.757	0.228	1.591
3.338	0.960892479556	0.219	1.772
3.807	1.186	0.24	1.538
3.322	0.908	0.233	1.475
3.365	1.128	0.244	1.483
3.509	1.042	0.269	1.377
3.17	1.161	0.169	1.346
3.123	0.896	0.217	1.4248766304
2.933	1.075	0.198	1.494
2.598	0.844	0.205403894297	1.461
2.575	0.827	0.177	1.291
3.213	0.92	0.217	1.345
2.845	0.930698899359	0.219	1.538
2.802	1.06	0.189	1.494
2.906	0.935	0.256	1.625
3.09809582549	0.78	0.245	1.486
