BHLHE40_TP	BHLHE40_FP	BHLHE40_TN	BHLHE40_FN
3.61411938415	1.028	0.225708563961	0.759
3.7761768077	1.095	0.295	0.746
3.594	0.985611745735	0.279	0.742
3.73478336757	0.932	0.255	0.876
3.594	0.986	0.313763366812	0.805
3.593	0.939	0.271	0.856
3.833	1.053	0.228874391074	0.665
3.936	1.222	0.247192907855	0.892
4.028	1.094	0.267	0.815
4.655	1.101	0.242	0.83
4.361	1.068	0.219	0.952
4.337	0.968	0.248534431987	0.869
4.42190491496	1.01	0.269972728462	0.994
4.358	0.952	0.244	1.023
4.153	0.962	0.222	0.953
4.027	0.961	0.202556292695	1.039
3.8	0.858	0.247	0.883
3.771	1.0638565251	0.29	0.794
3.693	1.091	0.225	0.813
4.192	1.106	0.235	1.084
4.4	1.028	0.233	0.858
4.343	1.031	0.221	0.876
4.56757841188	1.014	0.271365032674	0.81
4.311	0.973	0.257	0.793
4.765	0.927	0.212708563961	0.852
4.997	0.877	0.267538734607	0.807
4.667	1.056	0.285	0.915
4.647	1.035	0.237	0.869
5.384	0.91	0.222	0.953
5.66606965509	1.142	0.240585048143	0.87
4.948	1.048	0.26	0.952
4.325	0.976	0.223	1.131
4.676	0.938	0.22	0.907
4.752	0.868	0.240050239759	1.07470856396
4.382	1.008	0.227	1.03970856396
4.442	0.993	0.231874391074	0.96
4.325	0.894	0.207	0.913
4.827	1.015	0.25816678493	0.815
5.437	0.879	0.219	0.928
5.316	1.136	0.222	0.787
4.614	0.846	0.208	0.841
4.902	0.865	0.236	0.893
5.271	0.972	0.206	1.006
4.94176510797	0.928	0.177	0.857
5.121	1.07811826567	0.21981669481	0.883
5.618	1.14	0.236	0.859
5.593	1.016	0.23	0.978
5.224	0.961	0.226	0.96927349386
5.732	1.269	0.22	0.888
5.54	1.206	0.252	0.953
4.943	0.854	0.226	0.977
4.883	0.879	0.219	1.039
4.709	0.861	0.259	1.11
4.717	0.804	0.215	1.131
5.542	0.873	0.268	1.123
5.639	0.989	0.248	1.12
5.91	0.933	0.242708563961	0.975
6.018	1.156	0.239	1.154
5.576	1.067	0.228	1.048
5.852	0.942	0.217	0.91
5.981	0.987	0.202	1.215
5.924	0.83	0.263	0.969
5.776	0.934892721978	0.24673613814	1.004
5.44588478606	0.91	0.245286063056	1.11453031908
5.617	1.04032113521	0.231	0.977530319083
5.107	1.15047842007	0.233	1.21
5.207	0.94	0.218708563961	0.942
4.984	1.137	0.225	1.005
5.16178850215	0.946	0.218	1.233
5.407	1.046	0.215	1.02536589763
5.953	0.885	0.22	1.057
5.82183651905	0.935	0.223	1.129
5.8168548794	1.935	0.228069500697	0.916830666225
5.792	0.89	0.222069500697	0.964830666225
5.988	0.950164799804	0.224	1.012
5.918	0.953	0.236900300899	1.081
5.694	0.754	0.209	0.92
6.60356763097	0.987	0.264643318583	1.066
6.013	0.937	0.228	1.141
7.403	1.27161463261	0.284	1.16670856396
9.58398759919	1.03263185168	0.310922431797	1.15454762239
7.25859631067	0.722	0.189554027642	0.996
4.16079740266	0.772	0.195	0.746
4.345	0.814	0.243	1.195
5.754	0.958	0.199	1.594
7.372	1.41513522059	0.239	1.562
7.877	1.321	0.2	1.217
8.08	1.18	0.224	1.364
8.669	1.355	0.218	1.5347989964
9.42046042532	1.25524203937	0.19	1.659
8.83562059396	1.4511761074	0.248	1.321
6.9087871383	2.17225487046	0.229708563961	1.154
4.436	1.044	0.244	0.996962707377
4.13316156983	0.837	0.24435097905	1.32196270738
5.75	0.979	0.231	1.579
5.219	0.979748891902	0.252	1.315
2.152	0.6	0.222708563961	0.714
2.074	0.842	0.236708563961	0.777
2.371	0.734	0.210708563961	0.882
2.387	0.764	0.287	0.895
2.462	1.132	0.253	0.748
2.591	0.892648778229	0.261	0.879
2.323	0.776	0.204	0.89
2.09	0.886	0.247	0.797
2.161	0.677	0.188	0.749
5.262	1.40038268463	0.292	1.327
6.373	0.961	0.193708563961	1.16
3.951	1.001	0.28	1.117
4.686	1.067	0.205	1.10529967637
6.613	1.46160400602	0.243	1.20224401532
8.497	1.496358671	0.232708563961	1.485
8.909	1.24492885302	0.238	1.369
7.585	1.237	0.234	1.105
8.337	1.11935494941	0.221	1.419
8.70599480614	1.17434713547	0.233	1.434
8.13502891243	1.25037989695	0.309	1.305
5.928	0.94	0.24735097905	0.967
4.675	0.944	0.265	1.023
4.371	0.787	0.179950067798	0.758
5.962	0.807	0.258241503837	0.882
