MAFK_TP	MAFK_FP	MAFK_TN	MAFK_FN
1.452	0.770082542666	0.179	0.273
1.431	0.663	0.202708563961	0.259
1.444	0.723	0.2	0.313
1.291	0.809	0.219	0.353
1.394	0.824221325529	0.259	0.306
1.44	0.707	0.169	0.293
1.512	0.655	0.199	0.26
1.52011077484	0.707	0.186	0.34
1.461	0.644720232211	0.187	0.32
1.557	0.641	0.193	0.278
1.44	0.6	0.236708563961	0.357
1.601	0.631	0.268374644648	0.346064627113
1.642	0.696	0.237585048143	0.305
1.6624236123	0.773267604255	0.274	0.371
1.702	0.824	0.241	0.380874391074
1.612	0.706	0.228	0.325876148712
1.62	0.633	0.178	0.347
1.841	0.669	0.195708563961	0.373
1.762	0.749	0.242	0.380867412008
1.648	0.743	0.198	0.336
1.837	0.669	0.2	0.295
1.97	0.747	0.247	0.361014743798
1.834	0.787	0.241	0.347554027642
1.903	0.761	0.201	0.359
2.107	0.701	0.207	0.435
1.863	0.885	0.209	0.39
2.021	0.796	0.181	0.390874391074
2.056	0.757	0.21773613814	0.37
2.003	0.834	0.196	0.421554027642
2.1504022642	0.837906792782	0.227	0.370874391074
2.049	0.717	0.193	0.485
2.01907785095	0.822	0.197	0.429
1.939	0.836	0.204805915887	0.404
1.998	0.727	0.226	0.397
1.941	0.698	0.19	0.415678721164
1.978	0.731	0.232	0.389943731972
2.084	0.743	0.187	0.406
2.087	0.769	0.228993784161	0.365
2.072	0.879	0.247708563961	0.449
2.243	0.881	0.22173613814	0.388
2.087	0.956	0.26	0.382
2.031	0.975	0.225	0.366
2.132	0.916	0.213	0.401
2.077	0.915	0.20542684127	0.377
2.179	0.984073275624	0.172	0.450917420253
2.427	0.826	0.193	0.544058982022
2.173	0.754	0.197	0.416
2.191	0.819	0.226	0.464
2.452	0.932	0.16	0.458
2.34109834759	0.894	0.205	0.413
2.146	0.984429245991	0.222	0.424
2.344	0.926	0.222	0.469
2.698	0.876	0.189	0.452
2.522	0.86	0.223168992078	0.437
2.408	0.728	0.264	0.485910985093
2.207	0.815	0.275	0.545
2.309	0.901	0.212417127923	0.462
2.386	0.89	0.188454936837	0.525
