CCNT2_TP	CCNT2_FP	CCNT2_TN	CCNT2_FN
2.977	0.714	0.170708563961	1.38471673254
2.929	0.784761769958	0.179	1.3768115942
3.035	0.724	0.201	1.52305665349
3.106	0.789	0.166708563961	1.59815546772
3.142	0.925	0.174181527656	1.58498023715
3.346	0.876	0.179	1.35836627141
3.11587533524	0.984	0.182708563961	1.51119894598
3.388	0.93	0.223989091334	1.51515151515
3.214	0.894	0.164	1.58629776021
3.126	0.958	0.159652076409	1.68247694335
3.474	0.946	0.204	1.47562582345
3.536	0.86	0.191	1.40579710145
3.659	0.919	0.181	1.49934123847
3.39	0.968	0.205	1.4347826087
3.353	0.909	0.182	1.71146245059
3.576	0.978	0.191	1.59288537549
3.556	0.969	0.154943606417	1.46376811594
3.463	1.032	0.185	1.74084278006
3.631	1.004	0.203007453335	1.58234519104
3.955	0.844	0.196	1.58629776021
3.909	0.702	0.158	2.03557312253
4.063	0.921	0.176	1.64295125165
4.056	0.835	0.202977795758	1.62977602108
4.083	0.808	0.23	1.85243741765
3.943	0.85	0.207	2.03820816864
3.919	0.82	0.164	1.88010540184
3.985	0.824	0.206	2.04743083004
3.664	0.905	0.196	1.94071146245
3.636	1.032	0.171	1.91304347826
3.804	1.075	0.22296486748	1.93939393939
3.875	0.927	0.186	1.98418972332
4.12854718462	0.939	0.199	2.04611330698
4.151	0.971	0.166	2.10408432148
4.495	1.32	0.194	1.79710144928
4.491	1.134	0.183766445542	1.75098814229
4.489	1.19054278999	0.195	1.89328063241
4.55	1.035	0.200708563961	2.07509881423
4.333	1.085	0.171	1.94861660079
4.683	0.897	0.208	1.930171278
4.36799273167	1.06553600934	0.172	2.12516469038
4.466	0.994607929273	0.175	1.95915678524
5.10756832365	1.081	0.185	2.18445322793
4.482	1.022	0.194	2.27272727273
5.024	0.952	0.188989091334	2.10540184453
5.49113231993	1.113	0.193	2.17786561265
4.755	1.09	0.15	2.29907773386
4.492	0.951	0.195594748112	2.35177865613
4.584	1.26433183954	0.173	2.02635046113
4.581	1.139	0.179	2.16205533597
5.023	1.28426762983	0.171	2.20421607378
4.817	1.119	0.149	2.18181818182
4.893	0.993773399481	0.201	2.33069828722
5.071	1.161	0.178652076409	2.4255599473
5.028	1.174	0.18	2.35640791958
4.87	1.198	0.174	2.45849802372
4.874	1.222	0.188	2.18445322793
4.512	1.27548764587	0.161	2.39920948617
5.013	1.178	0.194	2.49011857708
5.02	1.23	0.173	2.53623188406
5.24	1.199	0.197	2.49591676132
5.491	1.404	0.202708563961	2.69433465086
5.51584634803	1.191	0.183	2.76130229417
5.545	1.401	0.192	2.68511198946
5.576	1.55493068563	0.20173613814	2.33980556204
5.593	1.284	0.216	2.44400527009
5.34	1.43418804411	0.19	2.18577075099
5.584	1.333	0.166	2.30303030303
5.77241294348	1.28382479064	0.166	2.3768115942
5.271	1.351	0.201	2.62450592885
5.57623020665	1.385	0.174	2.89878568331
5.69905230366	1.375	0.188	2.89328063241
6.788	1.519	0.214	3.06324110672
6.124	2.1480146014	0.203	2.98015293446
5.94724183785	1.705	0.181	2.82345191041
6.88078963872	1.588	0.176	3.24637681159
7.57724175732	1.87174659553	0.167	3.26086956522
6.749	1.486	0.158	3.1488801054
5.55	1.398	0.173	2.68247694335
6.61	1.484	0.202	2.9604743083
6.361	1.51	0.197	2.98550724638
6.761	1.66873515638	0.184	3.07246376812
6.888	1.787	0.218	3.09486166008
7.32497759254	1.698	0.193	2.94466403162
6.826	1.513	0.197	2.96706192358
7.11154175627	1.45206704146	0.192	3.18577075099
7.19776155742	1.60496590573	0.2	2.86561264822
6.997	1.57	0.195992072045	2.82476943347
6.85895080097	1.414	0.197	3.00421505532
7.123	1.55672684622	0.201	2.86956521739
5.49	1.36	0.20673613814	2.56389986825
4.626	1.263	0.168	2.28458498024
3.072	1.039	0.170585048143	1.67325428195
3.12	0.983	0.167	1.8418972332
3.854	1.26354881822	0.199652076409	2.24110671937
2.141	0.930183026826	0.143	1.44927536232
2.333	0.777	0.136	1.3465085639
2.975	0.963	0.205	1.90645586298
2.881	1.041	0.191163564163	1.62582345191
3.092	1.043	0.217	1.55467720685
3.15	1.119	0.206	1.66666666667
3.05725521091	1.02158504814	0.172	1.49670619236
3.129	1.108	0.177	1.65217391304
3.072	1.11971071762	0.177	1.63109354414
3.155	1.106	0.18273613814	1.65744400527
2.498	0.875	0.12	1.32938076416
2.578	0.79	0.162	1.22266139657
4.15	1.32483296892	0.233	2.05401844532
3.172	1.145	0.203	1.59025032938
3.393	1.063	0.191648778229	1.51119894598
5.123	1.35642684127	0.177	2.40316205534
5.792	1.644	0.241	2.98023715415
7.204	1.968	0.225	3.24505928854
8.01405133038	1.753	0.237	3.05270092227
7.235	1.94	0.219	3.6627140975
7.46500637692	1.9046443558	0.186832968925	3.44795783926
6.745	1.59	0.199	2.93807641634
6.606	1.637	0.176	3.03689064559
6.471	1.751	0.216874391074	3.33465085639
6.577	1.65388535929	0.222	3.29030293665
6.546	1.326	0.189	2.63899868248
6.52281181816	1.55012569188	0.194	2.8722002635
6.026	1.566	0.204	2.77865612648
5.656	1.303	0.218	2.71277997365
6.409	1.515	0.213	2.96837944664
6.8901809464	1.796	0.204	2.93807641634
6.552	1.516	0.178	2.96867055998
6.03889527561	1.42	0.173	2.79578392622
5.92730710949	1.36	0.16	3.14197816041
6.09974953675	1.426	0.191798998462	3.01185770751
5.276	1.343	0.221	2.82872200264
5.232	1.24	0.181	3.21080368906
5.022	1.256	0.164	3.069828722
5.183	1.171	0.195	3.08168642951
4.87080217468	1.317	0.181	2.72068511199
5.289	1.33	0.166	2.82740447958
5.364	1.25826093449	0.203	2.56126482213
4.935	1.106	0.20435097905	2.67720685112
5.279	1.316	0.191	2.7720685112
5.346	1.295	0.197	2.62977602108
5.296	1.24058042752	0.193	2.6930171278
5.06	1.197	0.217	2.51646903821
5.102	1.157	0.168369588601	2.61323923105
4.645	1.165	0.166	2.40579710145
4.679	1.171	0.163	2.32806324111
5.341	1.267	0.185	2.52964426877
5.112	1.245	0.182	2.42028985507
4.74870639957	1.181	0.189	2.44664031621
4.465	1.247	0.167	2.50856389987
4.515	1.094	0.165	2.58629776021
4.465	1.211	0.183	2.47826086957
4.492	1.214	0.214	2.31884057971
4.069	1.176	0.197	2.66139657444
4.037	1.133	0.214	2.29380764163
4.643	1.043	0.162554027642	2.43346508564
4.72024134089	1.37788213614	0.166	2.49275362319
4.705	1.217	0.216	2.45849802372
4.56	1.342	0.173	2.38866930171
4.704	1.243	0.194	2.72271804843
4.72030124998	1.436	0.178606375507	2.4347826087
4.396	1.144	0.188950067798	2.34519104084
4.498	0.92	0.159	2.55467720685
4.799	0.925	0.188708563961	2.53768736404
4.90953458786	1.019	0.181	2.49275362319
4.51	1.138	0.191	2.32806324111
4.405	0.981	0.191	2.1277997365
4.427	0.939	0.195	2.09354413702
4.422	1.018	0.201000766473	2.34255599473
4.267	0.991	0.188533027973	2.17127799736
4.2	1.01885092638	0.18	2.0487483531
3.954	0.97	0.174	2.06192358366
3.87	0.986	0.23083242896	2.11330698287
3.999	0.904	0.181	1.92621870883
4.25798449284	1.016	0.216363367701	2.13043478261
4.011	0.853	0.2	2.11198945982
3.886	0.982961914173	0.18	1.95652173913
4.074	0.869	0.173	2.31884057971
4.062	0.926	0.196417127923	2.07105823062
3.888	0.805	0.193	1.93544137022
3.807	0.878	0.217554027642	1.90909090909
4.071	0.881	0.187860041839	2.02766798419
4.05	0.787	0.241856920938	1.85902503294
3.826	0.683	0.186	2.03425559947
3.562	0.788	0.196	1.98814229249
3.567	0.722	0.2	2.01449275362
3.657	0.712	0.188	1.89328063241
3.439	0.758	0.241	2.240830882
3.418	0.817	0.23529476992	1.92358366271
3.493	0.84	0.197648778229	1.74571805007
3.74519894443	0.935	0.179	1.73649538867
3.236	0.899	0.168	1.75494071146
2.947	0.846	0.181	1.81422924901
3.152	0.802	0.171	1.64558629776
3.306	0.902	0.173	1.95915678524
