CTCFL_TP	CTCFL_FP	CTCFL_TN	CTCFL_FN
2.399	1.471	0.307918314244	1.068
2.50438183403	1.446	0.29773613814	1.156
2.192	1.54	0.293	1.178
2.382	1.576	0.309	1.158
2.413	1.49686716532	0.356708563961	1.062
2.614	1.537	0.269	1.241
2.53	1.602	0.293	1.49107336446
2.547	1.703	0.27	1.259
2.771	1.531	0.261	1.234
2.641	1.69	0.274708563961	1.192
2.655	1.738	0.272435407198	1.176
2.653	1.451	0.331	1.192
2.658	1.657	0.310708563961	1.352
2.754	1.855	0.324125691884	1.398
2.845	1.68	0.328	1.246
2.665	1.761	0.296089288936	1.467
3.437	1.65054940876	0.315	1.302
3.174	1.868	0.288	1.42
3.006	1.806	0.313644494119	1.622
2.913	1.916	0.300874391074	1.517
3.345	2.085	0.317	1.493
3.226	1.822	0.301008650003	1.425
3.291	1.86370597875	0.294	1.544
3.338	1.818	0.309	1.63
3.391	1.818	0.328241503837	1.468
3.282	1.771	0.287708563961	1.644
3.294	1.828	0.311874391074	1.768
3.63	2.057	0.387	1.742
3.57	1.985	0.436825803091	1.669
3.596	1.978	0.303834255846	1.717
3.722	1.893	0.309	1.602
4.33	1.817	0.344	1.837
4.06	1.8	0.284241503837	1.989
4.245	2.127	0.305	1.857
3.945	2.0	0.33	1.837
4.349	1.973	0.271	1.827
4.107	2.089	0.348	1.99
4.996	2.113	0.331	2.17548739889
4.389	2.03	0.353	2.145
4.219	2.474	0.331	1.946
4.12	2.36	0.326	2.197
4.161	2.51543827325	0.335125691884	2.40415712296
4.549	2.146	0.293	2.333
4.733	2.18	0.326	2.355
4.991	2.381	0.272	2.464
4.616	2.016	0.314	2.54280286556
5.201	2.344	0.3	2.636
5.037	2.226	0.289	2.54784951083
5.1	2.226	0.311168992078	2.542
5.102	2.527	0.263	2.463
4.761	2.36	0.335	2.54538140116
5.163	2.502	0.354626878206	2.477
5.261	2.44086818198	0.293	2.478
5.835	2.25	0.360943731972	2.707
5.992	2.124	0.297321936465	2.574
5.949	2.349	0.286874391074	2.691
5.635	2.172	0.298	2.72054834779
5.494	2.398	0.305	2.727
5.566	2.054	0.357	2.736
5.547	1.92	0.328	2.815
5.864	2.239	0.261	2.794
6.408	2.356	0.31	2.735
6.093	2.858	0.332	3.09
6.75	2.489	0.40673613814	3.0
7.35951681409	2.55142824737	0.33	3.076
7.014	2.587	0.32517576911	3.43
6.763	2.654	0.327	3.566
7.01931601973	3.014	0.321	3.42
6.464	2.915	0.388	3.31
6.072	2.48070856396	0.39922490184	3.441
6.41	2.69270492786	0.325	3.29
6.456	2.3	0.334	3.129
6.01	2.3883039796	0.318	2.818
5.56	2.639	0.342412371555	3.031
6.952	2.838	0.333	3.971
6.962	2.995	0.33	3.85429906392
5.879	2.612	0.35953191114	2.92754834779
6.248	2.689	0.41	3.004
6.165	2.676	0.324	3.269
5.124	2.326	0.284	2.901
5.184	2.162	0.281	2.8
4.618	2.026	0.286525904892	2.409
4.606	2.204	0.286	2.423
