FOS_TP	FOS_FP	FOS_TN	FOS_FN
1.897	0.791	0.217	1.309
2.151	0.729	0.213708563961	1.341
2.224	0.854	0.225	1.417
2.151	0.92	0.228	1.378
2.412	0.847	0.245417127923	1.557
2.341	0.917	0.232	1.415
2.363	0.889	0.201	1.634
2.473	0.815	0.227	1.447
2.432	0.766	0.254	1.358
2.19	0.923	0.266	1.48
2.435	0.941	0.209672242187	1.509
2.384	0.884	0.251	1.686
2.832	0.97	0.236	1.422
2.372	0.997	0.234585048143	1.566
2.422	0.876	0.237	1.71
2.98282969197	0.951	0.25	2.055
2.684	0.891	0.201	1.845
2.757	0.996	0.235724623295	1.83
2.95957176881	0.998	0.184	1.861
2.69	0.993	0.266708563961	1.736
2.638	0.992	0.231708563961	1.576
3.004	0.931	0.231	1.62
3.268	1.072	0.209	1.745
2.929	0.99	0.231	1.9
3.197	0.964	0.284	2.129
2.925	0.91	0.21	2.182
2.865	0.993	0.219917327009	1.995
3.23300548501	1.051	0.276874391074	1.865
2.876	0.901	0.187	2.033
3.002	0.981	0.219938443892	2.152
3.285	0.907	0.255	2.19737522441
3.74	0.929	0.248	2.001
3.224	1.116	0.222	2.119
3.577	0.998	0.233	2.154
3.749	0.901	0.192	2.432
3.515	1.24240746318	0.198	2.146
3.743	1.2	0.163	2.259
3.311	1.124	0.204	2.382
3.505	0.965	0.207	2.245
3.431	1.039	0.197	2.525
3.837	1.087	0.207417127923	2.401
3.75539159441	1.255	0.219	2.315
3.437	1.111	0.233	2.402
3.385	1.004	0.269	2.509
3.674	1.22	0.236	2.518
3.64692916552	1.169	0.237	2.35134540348
3.866	1.312	0.256	2.489
3.517	1.197	0.219739622401	2.437
3.304	1.218	0.253	2.664
3.3	1.264	0.297	2.565
3.9021059894	1.165	0.226	2.66170320733
4.307	1.388	0.334	2.765
3.898	1.362	0.299087117191	2.732
3.571	1.15	0.343	2.62061137065
3.595	1.215	0.219	2.686
4.259	1.137	0.246	2.644
4.049	1.178	0.305	2.65344614078
4.099	1.122	0.299	3.229
4.7	1.254	0.223	2.915
4.237	1.431	0.239	2.969
4.478	1.176	0.222	3.133
3.92	1.199	0.299	2.771
4.649	1.271	0.179	2.96
4.412	1.376	0.182	3.70062405193
4.058	1.248	0.203	3.029
4.224	1.408	0.199	3.041
4.111	1.19002168823	0.218	3.047
4.267	1.027	0.202	2.902
3.962	1.086	0.22	2.88993307701
4.131	1.188	0.257	3.245
4.139	1.277	0.247	3.132
4.715	1.49	0.22	3.296
4.779	1.46	0.174	3.124
4.647	1.272	0.203	3.09
5.07	1.241	0.231660378587	3.304
4.288	1.252	0.192	3.482
4.952	1.249	0.227	3.56109792467
4.73	1.37268316456	0.204	2.948
4.67	1.215	0.166	3.22724273511
3.212	0.863	0.193	2.148
3.848	1.239	0.284	3.097
4.91890815236	1.407	0.268585048143	3.5409609083
5.056	1.69426250154	0.228	3.551
4.534	1.596	0.211	3.663
5.211	1.82941008282	0.294640574982	4.09570640527
6.49265872798	1.767	0.31	3.763
5.634	1.63	0.254	3.166
4.65	1.83925362213	0.324	3.336
5.419	1.54	0.234	3.30514513713
5.46120596129	1.584	0.298	3.143
5.243	1.649	0.185	3.436
5.418	1.61	0.262	3.419
5.736	1.548	0.258	3.73199059417
4.576	1.409	0.253	2.714
4.581	1.534	0.239	3.241
4.189	1.302	0.244	3.274
2.598	0.96	0.201	2.283
2.485	1.092	0.215	2.187
5.088	1.805	0.382	4.107
2.787	0.811	0.153	2.209
1.425	0.431	0.144	0.995
2.735	0.87	0.227708563961	1.979
5.334	1.739	0.409	3.852
2.817	0.872	0.211293612104	2.007
2.671	0.854	0.216	1.856
4.471	1.093	0.25	2.95
4.903	1.258	0.365	2.811
4.143	1.28787027756	0.377	2.467
5.466	1.351	0.232	3.18448053794
5.95916962627	1.529	0.272	3.153
6.267	1.44388690983	0.223	3.83813793862
5.407	1.60445370988	0.251	3.65
5.624	1.76490257003	0.204	3.488
5.77	1.536	0.219	2.908
5.55652124086	1.789	0.284319017782	2.913
6.017	1.933	0.291304121984	3.845
5.943	1.903	0.307	3.405
5.057	1.57	0.252	3.016
5.956	1.823	0.287	3.378
5.247	1.532	0.279708563961	3.336
4.571	1.354	0.174	2.649
3.226	1.032	0.142	2.201
4.875	1.372	0.208417127923	2.781
4.437	1.652	0.273251383768	2.705
4.664	1.566	0.247	2.92
4.794	1.345	0.297	3.016
5.17454182914	1.419	0.371	2.924
4.683	1.813	0.243	4.38550453861
4.479	1.638	0.232	3.049
4.633	1.38	0.297417127923	3.067
4.738	1.251	0.266836628489	3.057
4.572	1.271	0.301	2.85
4.536	1.328	0.253	2.892
4.586	1.621	0.222	2.671
4.196	1.377	0.172	2.482
4.046	1.558	0.256	2.579
4.499	1.504	0.265	2.382
4.609	1.54	0.21	2.351
3.993	1.316	0.237	2.496
3.927	1.339	0.227	2.589
3.9642882936	1.415	0.222403894297	2.735
3.657	1.25	0.206	2.65
3.868	1.342	0.221	2.555
3.634	1.466	0.247	2.631
3.789	1.374	0.263	2.543
3.77	1.341	0.287554027642	2.395
3.569	1.321	0.314	2.305
3.716	1.291	0.337	2.355
3.965	1.509	0.355	2.727
3.44	1.324	0.399	2.605
3.627	1.22070607306	0.313585048143	2.373
3.536	1.122	0.378	2.67
3.621	1.23	0.324	2.623
3.369	1.264	0.37	2.55003426384
3.308	1.2	0.355	2.521
3.528	1.22153266069	0.295	2.734
3.297	1.162	0.354708563961	2.763
3.616	1.233	0.303883906579	2.054
3.115	1.163	0.283	2.194
3.561	1.055	0.218	2.264
3.537	1.376	0.262	2.131
3.603	1.103	0.24973613814	2.193
3.523	1.559	0.198	2.425
3.482	1.198	0.205	2.217
3.327	1.199	0.22	2.424
3.222	1.12	0.26	2.304
3.235	1.048	0.23	2.525
3.535	1.196	0.218	2.625
3.216	1.093	0.238	2.3
3.287	1.015	0.199	2.235
2.895	1.103	0.192708563961	2.33
2.865	1.035	0.219	2.014
2.903	0.994	0.226141447643	1.901
3.031	0.977	0.234	1.931
3.095	1.036	0.247	1.84
3.306	0.892	0.254	1.759
2.757	0.96	0.256	2.161
2.968	1.03	0.242	1.83
2.853	1.055	0.226	1.879
2.363	1.044	0.277	1.759
2.843	0.98	0.255708563961	1.76
2.756	0.953	0.263	1.794
2.65	0.877	0.195708563961	1.79
2.431	0.843	0.251	1.785
2.679	0.752	0.225	1.677
2.71	0.885	0.227	1.605
3.032	0.831	0.297	1.677
2.589	0.774	0.325	1.577
2.727	0.883	0.203	1.347
2.638	0.807	0.262	1.631
2.485	0.766	0.248	1.486
2.376	0.805	0.268	1.498
2.399	0.83	0.218	1.532
2.349	0.906	0.221	1.578
2.227	0.873	0.241	1.363
2.523	0.88	0.262	1.425
2.181	0.838	0.259	1.581
2.329	0.802	0.197	1.431
2.102	0.823	0.233	1.587
2.51049820029	0.8	0.212	1.396
