ETS1_TP	ETS1_FP	ETS1_TN	ETS1_FN
5.06956266666	1.793	0.272708563961	3.79075425791
5.39024584891	1.546	0.323	4.01459854015
5.091	1.51	0.319	4.55474452555
5.158	1.581	0.281	3.92944038929
5.01322234794	2.43607404416	0.287	3.12652068127
5.54	1.65	0.272	3.32116788321
5.811	1.388	0.301708563961	3.40875912409
5.606	1.492	0.31	3.49878345499
4.993	1.432	0.273	3.74939172749
5.324	1.341	0.284	4.25060827251
6.005	1.262	0.294417127923	4.12652068127
6.61652205104	1.34480661663	0.30735097905	3.66909975669
6.183	1.16	0.293708563961	4.34306569343
5.67	1.081	0.26	4.33819951338
6.274	1.169	0.263	4.32846715328
6.033	1.33	0.263	3.73722627737
6.019	1.367	0.249	3.51094890511
6.48767017128	1.271	0.263	3.6399026764
6.112	1.415	0.269	3.73236009732
6.42114932248	1.301	0.246	4.22141119221
6.67111212426	1.456	0.358	3.94647201946
6.05798200941	1.527	0.302	4.30900243309
5.75109181811	1.364	0.281	3.70072992701
6.151	1.431	0.245	4.64476885645
6.094	1.529	0.292162240027	4.08515815085
5.714	1.679	0.273	4.05109489051
6.60515544053	1.469	0.271	4.60340632603
6.593	1.515	0.257	3.95377128954
6.149	1.545	0.22	4.52554744526
6.148	1.477	0.292	4.86861313869
6.399	1.582	0.31	5.06082725061
6.44	1.359	0.241	4.07785888078
6.127	1.4894773658	0.287	5.00243309002
6.48463646445	1.487	0.351	5.10705596107
6.099	1.399	0.27	4.7201946472
6.625	1.527	0.288	4.02433090024
7.25	1.518	0.269	4.50561495925
6.596	1.602	0.258	4.23600973236
6.362	1.886	0.256	4.3600973236
7.251	1.506	0.262	4.60097323601
6.989	1.558	0.291	5.06027316774
6.498	1.677	0.326	4.45255474453
6.838	1.7243470165	0.294	4.56690997567
7.64398023146	1.595	0.298	4.39902676399
7.3077798919	1.511	0.305	4.50364963504
7.656	1.564	0.331	4.4403892944
7.80395838136	1.41313307365	0.288	4.52798053528
7.629	1.544	0.318	4.76399026764
8.035	1.44493355457	0.291708563961	4.91727493917
6.98	1.632	0.313	4.96107055961
7.084	1.644	0.29	5.05352798054
7.385	1.607	0.273	4.87104622871
7.16220476622	1.62178182256	0.274	5.60340632603
7.557	1.413	0.301	4.71776155718
7.473	1.258	0.331	5.29927007299
7.107	1.566	0.328585048143	5.89294403893
7.087	1.503	0.27973613814	5.07785888078
7.553	1.351	0.302528003143	5.31386861314
7.885	1.52921010054	0.315504923917	5.21897810219
7.986	1.472	0.352	5.49635036496
7.813	1.626	0.315	5.46472019465
7.819	1.697	0.341	6.05839416058
8.064	2.31	0.317	5.57907542579
7.275	1.608	0.304	5.10948905109
7.927	1.487	0.291	4.83454987835
7.866	1.926	0.265	5.09489051095
8.83494070842	1.847	0.292	5.96350364964
8.16771361695	1.969	0.301708563961	5.800486618
7.78342201129	1.904	0.267	5.5401459854
7.27	1.984	0.303	5.61070559611
7.473	2.036	0.279	5.70802919708
7.60190243601	2.182	0.263	6.14598540146
7.745	2.083	0.237	7.63529604164
7.79	1.81	0.297	6.06082725061
8.343	1.732	0.298	5.57177615572
8.014	2.086	0.277417127923	5.51094890511
7.013	1.845	0.277	4.84671532847
7.753	1.901	0.313	5.18491484185
9.12417024733	1.888	0.311	5.2603406326
7.645	1.80451848903	0.272125691884	4.89781021898
7.75	1.961	0.29	5.63681709677
8.225	1.996	0.323768289609	6.11435523114
7.60078515775	1.644	0.288	4.77858880779
7.569	1.712	0.330554027642	4.80535279805
7.899	1.96960792927	0.339	6.16411760285
8.50352123787	1.789	0.283	5.72506082725
7.76	1.758	0.28	5.39659367397
7.479	1.79095921505	0.276	5.02189781022
8.22267498097	1.828	0.354	5.84914841849
7.911	1.831	0.317	5.77615571776
7.778	1.95001082764	0.307	6.01216545012
7.337	2.12223822918	0.273	5.51581508516
8.18077849349	2.182	0.343	6.28467153285
8.334	1.929	0.285	6.2603406326
7.51	1.893	0.309	6.16058394161
7.897	1.869	0.363	6.81937090493
6.212	1.327	0.326723137487	4.93187347932
5.755	1.624	0.206	5.64476885645
4.495	1.147	0.187	4.19221411192
3.261	0.981	0.145	3.45498783455
4.058	1.172	0.169	4.44525547445
3.257	0.955	0.213	3.37469586375
5.379	1.174	0.155	4.3600973236
6.787	1.997	0.255	5.70072992701
6.551	1.574	0.204	4.70559610706
7.878	2.234	0.373357342191	6.6204379562
7.386	2.18585340152	0.291	5.76155717762
8.21333592699	1.955	0.327007453335	5.88807785888
8.093	1.855	0.325	5.39902676399
8.203	2.075	0.318	5.6399026764
8.288	1.792	0.304	6.60827250608
7.904	1.73	0.280708563961	5.61557177616
8.438	2.071	0.315	5.26277372263
7.967	1.69	0.364	5.19464720195
7.476	1.663	0.276105041413	5.34063260341
8.012	1.736	0.334	5.57177615572
8.087	2.08141749223	0.313	5.35523114355
6.883	1.524	0.232	4.70072992701
7.5224768845	1.501	0.259	4.96593673966
7.967	1.706	0.282	5.66909975669
7.879	1.66	0.365	5.85158150852
7.59220058802	1.79382450029	0.317	5.40389294404
8.129	1.936	0.408	5.63746958637
7.363	1.942	0.34	5.95377128954
6.673	1.747	0.378590654771	5.46228710462
7.52	1.98	0.363	5.84914841849
7.768	1.931	0.410696249925	5.84184914842
7.758	1.683	0.405	7.18977480917
8.25695119112	1.809	0.346	6.2700729927
7.482	1.80494039093	0.318652076409	5.33333333333
7.857	1.816	0.332125691884	6.01216545012
