NR2F2_TP	NR2F2_FP	NR2F2_TN	NR2F2_FN
2.16249416294	0.862	0.243	0.771
2.028	0.795	0.197	0.873
2.217	0.955	0.22	0.894
2.007	1.118	0.266120307709	1.05178108925
2.23565430826	0.879106601545	0.234	0.984
2.329	0.96731809545	0.258	0.987
2.234	1.033	0.238	1.078
2.358	1.015	0.234	0.963
1.99	1.05291794542	0.222	0.903
2.285	1.12	0.221	0.866
2.414	1.094	0.227	1.01244503968
2.662	0.964	0.229241503837	0.896
2.636	0.801	0.228	1.0
2.724	0.954	0.252	0.873
2.667	0.879	0.245	0.92
2.786	0.902	0.22	0.891
2.114	0.919	0.233	0.836
2.63	0.904	0.264503065292	0.89
2.769	0.957	0.21	0.833
3.233	0.918	0.247	0.79
2.51	1.004	0.233	0.913
2.721	0.950381308175	0.181	1.007
3.281	1.137	0.237	1.02
2.354	1.187	0.21	0.957
2.628	1.218	0.242	1.008
2.412	0.885	0.233	1.033
3.21685951455	1.106	0.231	0.932
3.23	1.076	0.223	0.903
2.818	0.985	0.232418365401	0.982
2.663	0.914	0.244	0.917
2.502	0.922	0.245	0.916
2.696	0.937	0.228	1.07727883589
2.556	0.898	0.221	0.985
2.452	0.813	0.224751866951	1.042
2.445	0.972	0.239874391074	0.815602067615
2.398	0.935	0.214	0.949
2.353	0.965	0.226	0.9
2.662	0.959	0.23735097905	1.016
2.453	0.906	0.219	0.965
2.715	0.923	0.24835097905	0.936
2.664	0.887	0.222	1.045
2.746	0.934	0.251	1.161
2.702	0.97	0.227	0.972
2.799	0.847	0.275	1.026
3.24449495657	0.997	0.222	0.948
2.985	0.962	0.21	1.019
2.546	1.1	0.25	1.071
2.63	1.05788777631	0.258	1.031
2.67884130625	0.98	0.262	1.085
2.668	0.927	0.24	1.07393775371
3.008	0.936	0.266	1.207
2.983	0.912	0.198	1.094
2.701	0.955	0.268	1.17592480321
2.729	0.978	0.238	1.115
3.105	0.955	0.274	1.24044638148
2.791	1.21	0.23	1.243
2.846	1.053	0.264	1.176
2.976	1.025	0.239	1.256
2.654	0.925	0.261	1.181
3.003	1.07358200958	0.218	1.2204327041
2.958	1.11	0.225	1.136
2.929	0.971	0.236989429394	1.162
2.822	1.09	0.219090826782	1.22139033062
2.997	1.13543168387	0.231	1.173
2.98125380449	1.067	0.225	1.13992329989
2.77	1.163	0.22	1.098
2.669	1.12856922385	0.239693478201	1.225
2.733	1.084	0.243	1.187
2.952	1.24997277835	0.242	1.081
3.07631647815	1.244	0.238918314244	1.067
3.153	1.06	0.238959986389	1.09235959609
3.12	1.0249809799	0.228	1.164
3.001	0.988	0.197	0.948
3.41125521091	0.965	0.196	1.074
3.052	0.911	0.195	1.046
2.991	1.014	0.237	1.074
3.116	0.85	0.191	0.947
2.909	0.778	0.215	0.925
2.705	0.904	0.204	1.024
2.521	0.81	0.196	0.92
3.239	1.123	0.235	1.185
3.521	1.29	0.269	1.235
3.323	1.195	0.216708563961	1.136
3.32902012273	1.13241712792	0.236	1.227
3.19676601474	0.991	0.23	1.144
3.23	1.118	0.245	1.086
3.022	0.999	0.227	1.089
2.978	1.10891081416	0.231	1.195
3.196	1.38987751349	0.216	1.048
3.276	0.975	0.265	1.016
3.454	1.04714176591	0.22	1.14
3.08580610219	0.967	0.205	1.081
3.304	1.004	0.162	1.209
3.303	0.984	0.227	1.27695377851
2.709	0.888051408697	0.226749390473	1.101
2.472	0.983	0.194	0.96
1.861	0.788	0.151	0.758
2.3825279634	0.883	0.17	0.947
3.288	1.329	0.273	1.187
4.1216850438	1.48245213566	0.287	1.35
2.529	0.967	0.241	0.993
4.13416486675	1.69950902368	0.28516110973	1.63670611845
3.265	1.18583296892	0.279125691884	1.25748109909
2.075	0.76	0.171	0.922
1.776	0.573	0.153	0.787
2.281	0.813291353482	0.212290165782	0.992
2.764	1.023	0.187	1.054
3.206	1.031	0.196	1.349
3.348	0.916	0.207	1.26
2.978	0.941	0.19073613814	1.052
3.345	0.994	0.221	1.233
3.377	0.9299844263	0.219	1.225
3.104	1.1064678488	0.224	1.117
3.109	0.95	0.229	1.172
3.147	1.008	0.217	1.109
3.257	1.075	0.218	1.28
3.368	0.89	0.183	1.13987341022
3.368	0.943	0.246	1.22
3.146	1.074	0.254	1.291
3.488	1.136	0.252	1.44637401344
3.418	1.074	0.248	1.3
2.529	0.767	0.169	0.856
2.55	0.786	0.174	1.062
2.858	0.767	0.238	1.004
2.926	0.861	0.218	1.102
3.16	0.976	0.232	1.41253609974
3.33003394645	1.014	0.228	1.262
3.307	0.979	0.233	1.191
3.232	1.105	0.219874391074	1.224
3.227	1.007	0.238	1.212
3.45228273895	1.003	0.219	1.107
3.025	1.031	0.256	1.199
2.919	0.911863543931	0.218	1.131
3.126	0.978	0.265	0.979
2.898	1.073	0.265	1.1
3.0	0.974	0.24	1.249
2.904	1.035	0.238	1.16
2.997	0.911	0.193	1.159
3.039	1.064	0.214	1.126
2.833	1.062	0.253	1.13
2.887	1.001	0.231	1.104
3.097	0.964	0.222	1.0450774937
3.498	0.923	0.226	1.069
2.951	0.885362071624	0.235031148346	1.131
3.177	0.891	0.247	1.081
2.807	1.029	0.222	1.169
2.716	0.969	0.178	1.155
2.799	0.895	0.197	1.168
2.722	0.952	0.238	1.129
2.836	1.004	0.216	1.177
3.313	0.961	0.228	1.267
3.245	0.945	0.226	1.08519646096
3.134	0.975	0.237	1.222
